Date,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2026-02-06T07:33:50.927Z","Included","auto","No","0","15077","0","503","15580","0.02"
"2026-02-06T07:32:54.354Z","Included","auto","No","0","14747","0","252","14999","0.02"
"2026-01-31T06:16:19.429Z","Included","auto","No","950","0","58176","522","59648","0.02"
"2026-01-31T06:14:59.916Z","Included","auto","No","48235","0","60018","916","109169","0.08"
"2026-01-30T21:37:53.122Z","Included","auto","No","40058","0","9944","2093","52095","0.07"
"2026-01-30T20:36:23.916Z","Included","auto","No","39135","0","9944","552","49631","0.05"
"2026-01-30T12:37:17.964Z","Included","auto","No","10521","0","195292","4121","209934","0.09"
"2026-01-30T12:20:07.105Z","Included","auto","No","25200","0","308432","4092","337724","0.13"
"2026-01-29T20:11:15.237Z","Included","auto","No","288","0","142219","767","143274","0.04"
"2026-01-29T20:08:27.691Z","Included","auto","No","221","0","142001","983","143205","0.04"
"2026-01-29T20:07:44.455Z","Included","auto","No","198","0","141806","154","142158","0.04"
"2026-01-29T20:06:51.203Z","Included","auto","No","291","0","141518","262","142071","0.04"
"2026-01-29T20:02:46.308Z","Included","auto","No","222","0","141299","552","142073","0.04"
"2026-01-29T20:01:28.454Z","Included","auto","No","131829","0","9473","264","141566","0.17"
"2026-01-29T14:02:23.393Z","Included","auto","No","131611","0","9469","639","141719","0.17"
"2026-01-29T12:45:37.023Z","Included","auto","No","131512","0","7424","437","139373","0.17"
"2026-01-29T12:45:09.381Z","Included","auto","No","0","0","0","0","0","0.00"
"2026-01-29T12:31:01.731Z","Included","auto","No","130700","0","7456","487","138643","0.17"
"2026-01-29T12:20:57.326Z","Included","auto","No","129692","3759","7424","2059","142934","0.18"
"2026-01-29T09:23:03.592Z","Included","auto","No","0","126467","14592","553","141612","0.17"
"2026-01-29T09:17:22.482Z","Included","auto","No","0","125411","14592","153","140156","0.16"
"2026-01-29T09:09:42.306Z","Included","auto","No","0","8044","131712","214","139970","0.04"
"2026-01-29T08:15:33.020Z","Included","auto","No","0","240149","29184","2967","272300","0.33"
"2026-01-28T22:48:15.442Z","Included","claude-4.5-sonnet-thinking","No","14088","129355","611001","27340","781784","0.51"
"2026-01-28T22:43:21.108Z","Included","claude-4.5-sonnet-thinking","No","149023","125061","294230","15161","583475","0.74"
"2026-01-28T22:22:13.932Z","Included","auto","No","16338","0","1086194","6426","1108958","0.33"
"2026-01-28T22:20:52.824Z","Included","claude-4.5-sonnet-thinking","No","14541","50","815192","5998","835781","0.39"
"2026-01-28T22:11:52.794Z","Included","claude-4.5-sonnet-thinking","No","129161","26","225139","16778","371104","0.80"
"2026-01-28T22:05:14.775Z","Included","auto","No","101305","13264","1118665","7154","1240388","0.47"
"2026-01-28T21:59:05.788Z","Included","claude-4.5-sonnet-thinking","No","19942","152","2217775","16135","2254004","0.98"
"2026-01-28T21:58:37.201Z","Included","claude-4.5-sonnet-thinking","No","36314","202","2260798","22877","2320191","1.16"
"2026-01-28T21:53:51.904Z","Included","claude-4.5-sonnet-thinking","No","9915","26","184661","2987","197589","0.14"
"2026-01-28T21:53:19.733Z","Included","claude-4.5-sonnet-thinking","No","61045","10","0","7","61062","0.23"
"2026-01-28T21:50:19.324Z","Included","claude-4.5-sonnet-thinking","No","14627","44","517002","12303","543976","0.39"
"2026-01-28T21:47:55.882Z","Included","claude-4.5-sonnet-thinking","No","64546","32","150545","4863","219986","0.36"
"2026-01-28T21:43:08.880Z","Included","auto","No","4747","0","198153","793","203693","0.06"
"2026-01-28T21:36:41.527Z","Included","auto","No","25029","0","314977","9475","349481","0.17"
"2026-01-28T21:35:34.589Z","Included","auto","No","18223","0","31048","341","49612","0.03"
"2026-01-28T21:19:01.271Z","Included","auto","No","1","0","21604","220","21825","0.01"
"2026-01-28T21:17:28.475Z","Included","auto","No","1","0","21604","503","22108","0.01"
"2026-01-28T21:13:25.630Z","Included","auto","No","12110","0","9495","274","21879","0.02"
"2026-01-28T21:13:16.852Z","Included","auto","No","0","0","0","0","0","0.00"
"2026-01-28T21:10:39.879Z","Included","auto","No","2010","0","111250","1593","114853","0.04"
"2026-01-28T21:10:21.825Z","Included","auto","No","6083","0","30557","233","36873","0.02"
"2026-01-28T21:10:11.505Z","Aborted, Not Charged","auto","No","0","0","0","0","0","0.00"
"2026-01-28T21:05:34.588Z","Included","auto","No","2623","0","117522","904","121049","0.04"
"2026-01-28T21:04:14.233Z","Included","auto","No","18706","0","9444","462","28612","0.03"
"2026-01-28T20:27:17.299Z","Included","auto","No","11848","0","372413","7248","391509","0.15"
"2026-01-28T20:23:13.228Z","Included","auto","No","37900","0","330081","13334","381315","0.21"
"2026-01-28T16:26:16.587Z","Included","auto","No","17994","0","72561","7140","97695","0.08"
"2026-01-28T16:17:25.072Z","Included","auto","No","1","0","112595","0","112596","0.03"
"2026-01-28T16:12:26.058Z","Included","auto","No","103126","0","115751","6847","225724","0.20"
"2026-01-28T15:24:41.667Z","Included","auto","No","93728","0","496635","8195","598558","0.29"
"2026-01-28T14:43:57.708Z","Included","auto","No","5333","0","523161","1641","530135","0.15"
"2026-01-28T14:39:05.370Z","Included","auto","No","74485","7069","694420","12039","788013","0.35"
"2026-01-28T07:36:41.547Z","Included","auto","No","3015","0","114880","612","118507","0.04"
"2026-01-28T07:29:44.057Z","Included","auto","No","15390","6620","646904","11050","679964","0.26"
"2026-01-28T07:26:18.245Z","Included","auto","No","14669","0","246145","7496","268310","0.12"
"2026-01-28T07:21:55.758Z","Included","auto","No","16715","0","128579","8106","153400","0.10"
"2026-01-24T09:07:24.470Z","Included","auto","No","0","10","19504","1569","21083","0.01"
"2026-01-24T09:06:17.553Z","Included","auto","No","2442","18","35919","1819","40198","0.02"
"2026-01-24T09:01:56.803Z","Included","auto","No","18058","20","17062","1633","36773","0.04"
"2026-01-24T08:50:53.707Z","Included","auto","No","17198","20","16160","1920","35298","0.04"
"2026-01-24T08:49:09.298Z","Included","auto","No","553","12","16365","1101","18031","0.01"
"2026-01-24T08:47:20.823Z","Included","auto","No","16916","20","16161","2267","35364","0.04"
"2026-01-24T08:45:49.625Z","Included","auto","No","16161","8","0","1118","17287","0.03"
"2026-01-23T13:09:32.945Z","Included","auto","No","7298","2529","1125336","37986","1173149","0.52"
"2026-01-23T13:04:26.807Z","Included","auto","No","3789","197028","179200","16386","396403","0.39"
"2026-01-23T13:02:16.977Z","Included","auto","No","174412","194025","189504","16760","574701","0.61"
"2026-01-23T12:52:55.564Z","Included","auto","No","5690","0","707584","1442","714716","0.19"
"2026-01-23T12:48:47.288Z","Included","auto","No","4650","0","169472","707","174829","0.05"
"2026-01-23T12:46:19.789Z","Included","auto","No","3199","0","503296","1778","508273","0.14"
"2026-01-23T12:45:02.980Z","Included","auto","No","1332","0","165888","204","167424","0.04"
"2026-01-23T12:42:44.736Z","Included","auto","No","5906","0","326144","752","332802","0.09"
"2026-01-23T12:30:54.433Z","Included","auto","No","2949","0","649824","1183","653956","0.17"
"2026-01-23T12:27:01.478Z","Included","auto","No","3207","0","157696","376","161279","0.05"
"2026-01-23T12:21:42.871Z","Included","auto","No","4452","21256","155552","1915","183175","0.08"
"2026-01-23T12:18:30.290Z","Included","auto","No","13678","0","144384","628","158690","0.06"
"2026-01-23T12:14:58.090Z","Included","auto","No","147387","0","315360","691","463438","0.27"
"2026-01-23T12:09:58.534Z","Included","auto","No","138237","0","435712","1567","575516","0.29"
"2026-01-23T12:03:48.303Z","Included","auto","No","3946","0","403968","1607","409521","0.12"
"2026-01-23T12:02:33.974Z","Included","auto","No","5732","0","525312","1080","532124","0.14"
"2026-01-23T11:59:36.428Z","Included","auto","No","2953","0","254976","776","258705","0.07"
"2026-01-23T11:57:31.067Z","Included","auto","No","2742","0","374784","1138","378664","0.10"
"2026-01-23T11:56:58.324Z","Included","auto","No","1605","0","246784","541","248930","0.07"
"2026-01-23T11:55:45.101Z","Included","auto","No","4733","0","605696","694","611123","0.16"
"2026-01-23T11:52:47.623Z","Included","auto","No","5508","0","351744","1350","358602","0.10"
"2026-01-23T11:50:03.153Z","Included","auto","No","7328","0","449024","1553","457905","0.13"
"2026-01-23T11:49:01.707Z","Included","auto","No","12147","0","526336","1327","539810","0.15"
"2026-01-23T11:45:56.888Z","Included","auto","No","9231","0","578048","961","588240","0.16"
"2026-01-23T11:40:42.568Z","Included","auto","No","3883","0","356864","670","361417","0.10"
"2026-01-23T11:37:26.793Z","Included","auto","No","2121","0","86016","521","88658","0.03"
"2026-01-23T11:35:55.952Z","Included","auto","No","31194","0","479744","1341","512279","0.17"
"2026-01-23T11:33:53.866Z","Included","auto","No","5133","0","451552","2164","458849","0.13"
"2026-01-23T11:30:34.538Z","Included","auto","No","89942","0","344096","1207","435245","0.21"
"2026-01-23T11:25:49.387Z","Included","auto","No","2998","0","67008","439","70445","0.02"
"2026-01-23T11:24:55.588Z","Included","auto","No","1411","0","196160","1545","199116","0.06"
"2026-01-23T11:21:55.169Z","Included","auto","No","8276","0","489984","1288","499548","0.14"
"2026-01-23T11:17:47.981Z","Included","auto","No","5891","0","105472","1672","113035","0.04"
"2026-01-23T11:16:25.298Z","Included","auto","No","20977","0","194080","782","215839","0.08"
"2026-01-23T11:14:08.988Z","Included","auto","No","38326","0","210432","1731","250489","0.11"
"2026-01-23T11:10:03.173Z","Included","auto","No","39174","0","278816","1639","319629","0.13"
"2026-01-23T11:08:25.814Z","Included","auto","No","14846","0","59232","10671","84749","0.10"
"2026-01-23T11:06:35.165Z","Included","auto","No","8452","0","34304","1014","43770","0.03"
"2026-01-23T10:55:39.095Z","Included","auto","No","31384","0","257632","9635","298651","0.16"
"2026-01-23T10:52:49.510Z","Included","auto","No","35273","0","41024","6350","82647","0.09"
"2026-01-23T10:48:15.350Z","Included","auto","No","7602","0","13312","4200","25114","0.04"
"2026-01-15T15:20:58.084Z","Included","gpt-5.2","No","0","28940","0","1374","30314","0.05"
"2026-01-14T21:13:01.436Z","Included","gpt-5.2","No","0","24779","1010","2097","27886","0.06"
"2026-01-14T18:41:10.970Z","Included","gpt-5.2","No","0","23769","0","1012","24781","0.05"
"2026-01-14T18:06:57.734Z","Included","gpt-5.2","No","0","12653","10610","1130","24393","0.03"
"2026-01-14T14:32:57.541Z","Included","gpt-5.2","No","0","6426","12416","1925","20767","0.02"
"2026-01-14T14:18:51.715Z","Included","gpt-5.2","No","0","4496","11392","1126","17014","0.01"
"2026-01-14T14:17:02.545Z","Included","gpt-5.2","No","0","3914","9600","2211","15725","0.02"
"2026-01-11T18:06:49.439Z","Included","auto","No","4658","0","176128","504","181290","0.05"
"2026-01-11T18:04:45.033Z","Included","auto","No","6392","0","865792","901","873085","0.23"
"2026-01-11T17:59:42.235Z","Included","auto","No","166227","0","657408","3862","827497","0.40"
"2026-01-10T18:43:13.793Z","Included","gpt-5.2","No","0","12245","9216","2380","23841","0.03"
"2026-01-10T18:41:27.687Z","Included","gpt-5.2","Yes","0","0","0","0","0","0.00"
"2026-01-08T19:57:33.375Z","Included","auto","No","151987","0","1646080","7019","1805086","0.64"
"2026-01-08T19:51:04.646Z","Included","auto","No","35980","0","759808","4060","799848","0.26"
"2026-01-08T19:44:24.309Z","Included","auto","No","28969","0","1005312","8121","1042402","0.34"
"2026-01-08T19:34:31.807Z","Included","auto","No","11937","0","552192","3853","567982","0.18"
"2026-01-08T19:25:26.577Z","Included","auto","No","48122","0","194560","2278","244960","0.12"
"2026-01-08T19:16:18.254Z","Included","auto","No","32785","0","99840","2555","135180","0.08"
